parent_name;variation_name;synonyms;goals;dimensionality;numerical;categorical;visual_cues;visual_cue_params;add_plot_args;add_gmap_args;scales;coordinate_system;shapes;description;anatomy;caveats;facetted;single_facetted;dual_facetted;grouped;plot_package;related;implemented
Pie Chart;Simple Pie Chart;;Distribution |  Part-to-a-whole;1-Dimensional;0;4;Angle;{};{};{};99999;Polar;;;;;False;False;False;False;Matplotlib;Donut Chart |  Gauge Chart;False
Pie Chart;Single Facetted Pie Chart;;Comparison |  Distribution |  Part-to-a-whole;2-Dimensional;0;2;Angle |  Row or Column;{};{};{};99999;Carthesian |  Polar;;;;;True;True;False;False;Matplotlib;Donut Chart |  Gauge Chart;False
Pie Chart;Single Facetted Grouped Pie Chart;;Comparison |  Distribution |  Part-to-a-whole;3-Dimensional;0;3;Angle |  Colour |  Row or Column;{};{};{};99999;Carthesian |  Polar;;;;;True;True;False;True;Matplotlib;Donut Chart |  Gauge Chart;False
Pie Chart;Dual Facetted Pie Chart;;Comparison |  Distribution |  Part-to-a-whole;3-Dimensional;0;3;Angle |  Row |  Column;{};{};{};99999;Carthesian |  Polar;;;;;True;False;True;False;Matplotlib;Donut Chart |  Gauge Chart;False
Pie Chart;Dual Facetted Grouped Pie Chart;;Comparison |  Distribution |  Part-to-a-whole;4-Dimensional;0;4;Angle |  Colour |  Row |  Column;{};{};{};99999;Carthesian |  Polar;;;;;True;False;True;True;Matplotlib;Donut Chart |  Gauge Chart;False
Point Map;;;Distribution |  Comparison;;;;;;{};{};99999;;;;;;False;False;False;False;;;False
Population Pyramid;;Funnel Chart;Part-to-a-Whole |  Comparison;2-Dimensional;;;;;{};{};99999;;;;;;False;False;False;False;;Histogram |  Bar Plot |  Grouped Bar Plot;False
Ridgeline Plot;;;Location |  ;;;;;;{};{};99999;;Area;;;;False;False;False;False;;Density Plot |  Area Chart;False
Sankey Diagram;;;Distribution |  Range |  Comparison |  Data Over Time;2-Dimensional;;;;;{};{};99999;;Dot;;;;False;False;False;False;;Bubble Chart |  Correlogram |  3D Scatter Plot;False
Scatter Plot;Simple Scatter Plot;;Relationship;2-Dimensional;2;0;X-Position |  Y-Position;"{""x"": ""num"" |  ""y"": ""num""}";"{""alpha"": 0.7}";{};99999;Carthesian;Dot;;;;False;False;False;False;Seaborn;;False
Scatter Plot;Grouped Scatter Plot;;Comparison |  Relationship;3-Dimensional;2;1;X-Position |  Y-Position |  Colour;"{""x"": ""num"" |  ""y"": ""num"" |  ""hue"": ""cat""}";"{""alpha"": 0.7}";{};99999;Carthesian;Dot;;;;False;False;False;True;Seaborn;;False
Scatter Plot;Single Facetted Scatter Plot;;Comparison |  Relationship;3-Dimensional;2;1;X-Position |  Y-Position |  Row or Column;"{""x"": ""num"" |  ""y"": ""num"" |  ""col"": ""cat""}";"{""alpha"": 0.7}";{};99999;Carthesian;Dot;;;;True;True;False;False;Seaborn;;False
Scatter Plot;Single Facetted Grouped Scatter Plot;;Comparison |  Relationship;4-Dimensional;2;2;X-Position |  Y-Position |  Colour |  Row or Column;"{""x"": ""num"" |  ""y"": ""num"" |  ""hue"": ""cat"" |  ""col"": ""cat""}";"{""alpha"": 0.7}";{};99999;Carthesian;Dot;;;;True;True;False;True;Seaborn;;False
Scatter Plot;Dual Facetted Scatter Plot;;Comparison |  Relationship;4-Dimensional;2;2;X-Position |  Y-Position |  Row |  Column;"{""x"": ""num"" |  ""y"": ""num"" |  ""row"": ""cat"" |  ""col"": ""cat""}";"{""alpha"": 0.7}";{};99999;Carthesian;Dot;;;;True;False;True;False;Seaborn;;False
Scatter Plot;Dual Facetted Grouped Scatter Plot;;Comparison |  Relationship;5-Dimensional;2;3;X-Position |  Y-Position |  Colour |  Row |  Column;"{""x"": ""num"" |  ""y"": ""num"" |  ""hue"": ""cat"" |  ""row"": ""cat"" |  ""col"": ""cat""}";"{""alpha"": 0.7}";{};99999;Carthesian;Dot;;;;True;False;True;True;Seaborn;;False
Slope Chart;Simple Slope Chart;;Comparison |  Data Over Time;3-Dimensional;2;1;X-Position |  Y-Position |  Line |  Colour;;{};{};99999;Carthesian;Dot |  Line;;;;False;False;False;False;Seaborn;;False
Slope Chart;Single Facetted Slope Chart;;Comparison |  Data Over Time;4-Dimensional;2;2;X-Position |  Y-Position |  Line |  Colour |  Row or Column;;{};{};99999;Carthesian;Dot |  Line;;;;True;True;False;False;Seaborn;;False
Slope Chart;Dual Facetted Slope Chart;;Comparison |  Data Over Time;5-Dimensional;2;3;X-Position |  Y-Position |  Line |  Colour |  Row |  Column;;{};{};99999;Carthesian;Dot |  Line;;;;True;False;True;False;Seaborn;;False
Spider Chart;;;Relationship |  ;2-Dimensional;;;;;{};{};99999;;Bar;;;;False;False;False;False;;Grouped Bar Plot |  Marimekko Chart;False
Stepped Line Graph;;Sparkline;Data Over Time |  ;;;;;;{};{};99999;;Line;;;;False;False;False;False;;;False
Stream Graph;Simple Steam Graph;;Data Over Time |  Range;2-Dimensional;2;0;X-Position |  Y-Position |  Area;{};{};{};99999;Carthesian;Area;;;;False;False;False;False;Matplotlib;Area Chart |  Fan Chart |  Line Chart;False
Stream Graph;Grouped Steam Graph;;Comparison |  Data Over Time |  Range;3-Dimensional;2;1;X-Position |  Y-Position |  Area |  Colour;{};{};{};99999;Carthesian;Area;;;;False;False;False;True;Matplotlib;Area Chart |  Fan Chart |  Line Chart;False
Stream Graph;Single Facetted Steam Graph;;Comparison |  Data Over Time |  Range;3-Dimensional;2;1;X-Position |  Y-Position |  Area |  Row or Column;{};{};{};99999;Carthesian;Area;;;;True;True;False;False;Matplotlib;Area Chart |  Fan Chart |  Line Chart;False
Stream Graph;Single Facetted Grouped Steam Graph;;Comparison |  Data Over Time |  Range;4-Dimensional;2;2;X-Position |  Y-Position |  Area |  Colour |  Row or Column;{};{};{};99999;Carthesian;Area;;;;True;True;False;True;Matplotlib;Area Chart |  Fan Chart |  Line Chart;False
Stream Graph;Dual Facetted Steam Graph;;Comparison |  Data Over Time |  Range;4-Dimensional;2;2;X-Position |  Y-Position |  Area |  Row |  Column;{};{};{};99999;Carthesian;Area;;;;True;False;True;False;Matplotlib;Area Chart |  Fan Chart |  Line Chart;False
Stream Graph;Dual Facetted Grouped Steam Graph;;Comparison |  Data Over Time |  Range;5-Dimensional;2;3;X-Position |  Y-Position |  Area |  Colour |  Row |  Column;{};{};{};99999;Carthesian;Area;;;;True;False;True;True;Matplotlib;Area Chart |  Fan Chart |  Line Chart;False
Tornado Chart;;;Data Over Time |  ;2-Dimensional;;;;;{};{};99999;;;;;;False;False;False;False;;;False
Tree Map;;;Hierachy;2-Dimensional;;;;;{};{};99999;;;;;;False;False;False;False;Squarify;Grouped Bar Plot |  Stacked Bar Chart |  Marrimekko Chart;True
Violin Plot;Simple Violin Plot;;Comparison |  Distribution |  Range;2-Dimensional;1;1;X-Position |  Y-Position |  Area |  Length;"{""x"": ""num"" |  ""y"": ""cat""}";{};{};99999;Carthesian;Area |  Line;;;;False;False;False;False;Seaborn;Boxplot;False
Violin Plot;Grouped Violin Plot;;Comparison |  Distribution |  Range;3-Dimensional;1;2;X-Position |  Y-Position |  Area |  Length |  Row or Column;"{""x"": ""num"" |  ""y"": ""cat"" |  ""hue"": ""cat""}";"{""split"": 1}";{};99999;Carthesian;Area |  Line;;;;False;False;False;True;Seaborn;Boxplot;False
Violin Plot;Single Facetted Violin Plot;;Comparison |  Distribution |  Range;3-Dimensional;1;2;X-Position |  Y-Position |  Area |  Length |  Row or Column;"{""x"": ""num"" |  ""y"": ""cat"" |  ""col"": ""cat""}";{};{};99999;Carthesian;Area |  Line;;;;True;True;False;False;Seaborn;Boxplot;False
Violin Plot;Single Facetted Grouped Violin Plot;;Comparison |  Distribution |  Range;4-Dimensional;1;3;X-Position |  Y-Position |  Area |  Length |  Row or Column;"{""x"": ""num"" |  ""y"": ""cat"" |  ""hue"": ""cat"" |  ""col"": ""cat""}";"{""split"": 1}";{};99999;Carthesian;Area |  Line;;;;True;True;False;True;Seaborn;Boxplot;False
Violin Plot;Dual Facetted Violin Plot;;Comparison |  Distribution |  Range;4-Dimensional;1;3;X-Position |  Y-Position |  Area |  Length |  Row |  Column;"{""x"": ""num"" |  ""y"": ""cat"" |  ""row"": ""cat"" |  ""col"": ""cat""}";{};{};99999;Carthesian;Area |  Line;;;;True;False;True;False;Seaborn;Boxplot;False
Violin Plot;Dual Facetted Grouped Violin Plot;;Comparison |  Distribution |  Range;5-Dimensional;1;4;X-Position |  Y-Position |  Area |  Length |  Row |  Column;"{""x"": ""num"" |  ""y"": ""cat"" |  ""hue"": ""cat"" |  ""row"": ""cat"" |  ""col"": ""cat""}";"{""split"": 1}";{};99999;Carthesian;Area |  Line;;;;True;False;True;True;Seaborn;Boxplot;False
Waterfall Chart;;Butterfly Chart;Comparison |  ;;;;;;;;;;;;;;False;False;False;False;;;False
